CODIGO_ICCS;TIPO;EDAD;GENERO;NIVEL DE INSTRUCCIÓN;NACIONALIDAD;ETNIA;DELITO ;TIPO DE ARMA;FECHA;HORA;PROVINCIA;CANTON;LATITUD;LONGITUD
1010201;DETENIDO;32;HOMBRE;SE DESCONOCE;ECUATORIANO;SE DESCONOCE;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;5/1/2023;14:00:00.0000000;COTOPAXI;LATACUNGA;-0.872558004;-7.863.161.678
1010201;APREHENDIDO;32;HOMBRE;SE DESCONOCE;ECUATORIANO;MONTUBIO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;5/1/2023;19:45:00.0000000;MANABI;EL CARMEN;-0.275356194;-79.456.880.093
1010101;DETENIDO;25;HOMBRE;BACHILLERATO;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;5/1/2023;17:00:00.0000000;GUAYAS;GUAYAQUIL;-2.157.887.413;-79.883.136.749
1010101;APREHENDIDO;31;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;5/1/2023;20:30:00.0000000;GUAYAS;BALZAR;-1.358.467.632;-79.899.685.355
1010201;APREHENDIDO;26;HOMBRE;SE DESCONOCE;PERUANO;SE DESCONOCE;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);5/1/2023;23:00:00.0000000;NAPO;CARLOS JULIO AROSEMENA TOLA;-1.139.442.311;-77.849.671.958
1010201;APREHENDIDO;37;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;6/1/2023;12:15:00.0000000;GUAYAS;GUAYAQUIL;-2.164.202.873;-79.892.320.633
1010202;APREHENDIDO;31;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;6/1/2023;13:30:00.0000000;GUAYAS;DURAN;-2.182.514.765;-79.838.800.571
1010202;APREHENDIDO;21;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;6/1/2023;13:30:00.0000000;GUAYAS;DURAN;-2.182.514.765;-79.838.800.571
1010202;APREHENDIDO;18;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;6/1/2023;13:30:00.0000000;GUAYAS;DURAN;-2.182.514.765;-79.838.800.571
1010201;APREHENDIDO;27;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;6/1/2023;12:15:00.0000000;GUAYAS;GUAYAQUIL;-2.163.868.841;-7.989.225.626
1010202;APREHENDIDO;25;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;6/1/2023;13:30:00.0000000;GUAYAS;DURAN;-2.182.514.765;-79.838.800.571
1010101;DETENIDO;47;MUJER;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;6/1/2023;21:00:00.0000000;GUAYAS;MILAGRO;-2.139.659.834;-79.599.393.904
1010202;APREHENDIDO;20;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;6/1/2023;13:30:00.0000000;GUAYAS;DURAN;-2.182.514.765;-79.838.800.571
1010201;APREHENDIDO;32;HOMBRE;BACHILLERATO;ECUATORIANO;MULATO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;6/1/2023;17:30:00.0000000;ESMERALDAS;ESMERALDAS;0.932393521;-79.661.934.972
1010202;APREHENDIDO;19;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;6/1/2023;13:30:00.0000000;GUAYAS;DURAN;-2.182.514.765;-79.838.800.571
1010202;APREHENDIDO;23;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;6/1/2023;13:30:00.0000000;GUAYAS;DURAN;-2.182.514.765;-79.838.800.571
1010201;APREHENDIDO;29;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;7/1/2023;23:35:00.0000000;PICHINCHA;RUMIÐAHUI;-0.32485216;-78.462.306.261
1010201;APREHENDIDO;27;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;7/1/2023;23:35:00.0000000;PICHINCHA;RUMIÐAHUI;-0.32487982;-78.462.338.448
1010201;APREHENDIDO;20;HOMBRE;BACHILLERATO;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;7/1/2023;23:35:00.0000000;PICHINCHA;RUMIÐAHUI;-0.324751076;-78.462.381.363
1010201;APREHENDIDO;25;MUJER;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;7/1/2023;23:35:00.0000000;PICHINCHA;RUMIÐAHUI;-0.32487982;-78.462.209.702
1010201;APREHENDIDO;22;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;7/1/2023;23:35:00.0000000;PICHINCHA;RUMIÐAHUI;-0.324815448;-78.462.231.159
1010201;APREHENDIDO;16;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;7/1/2023;23:35:00.0000000;PICHINCHA;RUMIÐAHUI;-0.324600875;-78.462.338.448
1010201;APREHENDIDO;24;MUJER;BACHILLERATO;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;7/1/2023;11:35:00.0000000;PICHINCHA;RUMIÐAHUI;-0.324836906;-7.846.231.699
1010201;APREHENDIDO;25;HOMBRE;TERCER NIVEL TÉCNICO-TECNOLÓGICO Y DE GRADO;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;7/1/2023;23:35:00.0000000;PICHINCHA;RUMIÐAHUI;-0.32496565;-78.462.338.448
1010201;APREHENDIDO;20;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;8/1/2023;17:30:00.0000000;GUAYAS;GUAYAQUIL;-22.504;-798.763
1010201;APREHENDIDO;22;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;8/1/2023;07:00:00.0000000;GUAYAS;GUAYAQUIL;-21.004.504;-799.213.177
1010201;APREHENDIDO;17;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;8/1/2023;17:30:00.0000000;GUAYAS;GUAYAQUIL;-22.504;-798.763
1010201;APREHENDIDO;20;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;8/1/2023;17:30:00.0000000;GUAYAS;GUAYAQUIL;-22.504;-798.763
1010201;APREHENDIDO;25;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;8/1/2023;17:30:00.0000000;GUAYAS;GUAYAQUIL;-22.504;-798.763
1010101;APREHENDIDO;22;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);8/1/2023;02:20:00.0000000;PICHINCHA;QUITO;-0.1232524;-785.097.838
1010101;APREHENDIDO;28;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);8/1/2023;07:30:00.0000000;PICHINCHA;QUITO;-0.2358595;-784.845.233
1010201;APREHENDIDO;16;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;8/1/2023;17:30:00.0000000;GUAYAS;GUAYAQUIL;-22.504;-798.763
1010201;APREHENDIDO;0;HOMBRE;SE DESCONOCE;COLOMBIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);9/1/2023;16:20:00.0000000;SUCUMBIOS;LAGO AGRIO;0.0979943;-768.966.273
1010101;APREHENDIDO;30;MUJER;BACHILLERATO;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;9/1/2023;10:00:00.0000000;PICHINCHA;QUITO;-0.0837245;-784.726.174
1010101;DETENIDO;26;MUJER;EDUCACIÓN GENERAL BÁSICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;10/1/2023;14:00:00.0000000;IMBABURA;COTACACHI;0.372968;-78.256.967
1010201;APREHENDIDO;29;HOMBRE;SE DESCONOCE;COLOMBIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;11/1/2023;02:30:00.0000000;GUAYAS;GUAYAQUIL;-2.157.599.615;-79.891.462.326
1010201;APREHENDIDO;22;HOMBRE;SE DESCONOCE;VENEZOLANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;11/1/2023;02:30:00.0000000;GUAYAS;GUAYAQUIL;-2.157.524.566;-7.989.143.014
1010201;APREHENDIDO;24;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;12/1/2023;20:00:00.0000000;GUAYAS;GUAYAQUIL;-21.081.602;-799.576.492
1010902;APREHENDIDO;49;HOMBRE;BACHILLERATO;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;12/1/2023;14:00:00.0000000;LOS RIOS;VINCES;-1.556.161.261;-79.750.185.013
1010201;APREHENDIDO;59;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;13/1/2023;23:55:00.0000000;GUAYAS;DURAN;-2.175.003.757;-79.854.406.979
1010101;APREHENDIDO;33;HOMBRE;SE DESCONOCE;ECUATORIANO;SE DESCONOCE;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;13/1/2023;16:30:00.0000000;PICHINCHA;QUITO;-0.15231258;-78.472.208.977
1010101;APREHENDIDO;24;HOMBRE;SE DESCONOCE;ECUATORIANO;SE DESCONOCE;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;13/1/2023;16:30:00.0000000;PICHINCHA;QUITO;-0.152205292;-78.472.069.502
1010101;APREHENDIDO;29;HOMBRE;SE DESCONOCE;VENEZOLANO;SE DESCONOCE;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;13/1/2023;16:30:00.0000000;PICHINCHA;QUITO;-0.152214177;-78.472.101.688
1010101;APREHENDIDO;20;HOMBRE;SE DESCONOCE;ECUATORIANO;SE DESCONOCE;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;13/1/2023;16:30:00.0000000;PICHINCHA;QUITO;-0.152404613;-78.472.080.231
1010101;APREHENDIDO;29;HOMBRE;SE DESCONOCE;ECUATORIANO;SE DESCONOCE;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;13/1/2023;16:30:00.0000000;PICHINCHA;QUITO;-0.152237478;-78.472.123.146
1010201;APREHENDIDO;29;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;14/1/2023;10:00:00.0000000;GUAYAS;GUAYAQUIL;-22.409.458;-79.909.934
