1010201	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-05	19:45:00	HOMBRE	ECUATORIANO	MONTUBIO/A	MANABI	EL CARMEN	-0.275356194	-79.456880093
1010101	DETENIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-05	17:00:00	HOMBRE	ECUATORIANO	MESTIZO/A	GUAYAS	GUAYAQUIL	-2.157887413	-79.883136749
1010101	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-05	20:30:00	HOMBRE	ECUATORIANO	MESTIZO/A	GUAYAS	BALZAR	-1.358467632	-79.899685355
1010201	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)	2023-01-05	23:00:00	HOMBRE	PERUANO	SE DESCONOCE	NAPO	CARLOS JULIO AROSEMENA TOLA	-1.139442311	-77.849671958
1010201	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-06	12:15:00	HOMBRE	ECUATORIANO	MESTIZO/A	GUAYAS	GUAYAQUIL	-2.164202873	-79.892320633
1010202	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-06	13:30:00	HOMBRE	ECUATORIANO	MESTIZO/A	GUAYAS	DURAN	-2.182514765	-79.838800571
1010202	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	ARMAS DE FUEGO	2023-01-06	13:30:00	HOMBRE	ECUATORIANO	MESTIZO/A	GUAYAS	DURAN	-2.182514765	-79.838800571
1010202	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-06	13:30:00	HOMBRE	ECUATORIANO	MESTIZO/A	GUAYAS	DURAN	-2.182514765	-79.838800571
1010201	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-06	12:15:00	HOMBRE	ECUATORIANO	MESTIZO/A	GUAYAS	GUAYAQUIL	-2.163868841	-79.89225626
1010202	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-06	13:30:00	HOMBRE	ECUATORIANO	MESTIZO/A	GUAYAS	DURAN	-2.182514765	-79.838800571
1010101	DETENIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-06	21:00:00	MUJER	ECUATORIANO	MESTIZO/A	GUAYAS	MILAGRO	-2.139659834	-79.599393904
1010202	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	ARMAS DE FUEGO	2023-01-06	13:30:00	HOMBRE	ECUATORIANO	MESTIZO/A	GUAYAS	DURAN	-2.182514765	-79.838800571
